22:39:23.484166 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1062636:1062840, ack 613, win 501, length 204
22:39:23.484293 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1062840:1063044, ack 613, win 501, length 204
22:39:23.484419 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1063044:1063248, ack 613, win 501, length 204
22:39:23.484548 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1063248:1063452, ack 613, win 501, length 204
22:39:23.484695 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1063452:1063656, ack 613, win 501, length 204
22:39:23.484824 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1063656:1063860, ack 613, win 501, length 204
22:39:23.484951 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1063860:1064064, ack 613, win 501, length 204
22:39:23.485086 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1064064:1064268, ack 613, win 501, length 204
22:39:23.485249 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1064268:1064472, ack 613, win 501, length 204
22:39:23.485381 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1064472:1064676, ack 613, win 501, length 204
22:39:23.485506 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1064676:1064880, ack 613, win 501, length 204
22:39:23.485634 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1064880:1065084, ack 613, win 501, length 204
22:39:23.485760 IP 134.122.35.219.ssh > bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923: Flags [P.], seq 1065084:1065288, ack 613, win 501, length 204
22:39:23.485786 IP bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923 > 134.122.35.219.ssh: Flags [.], ack 1053984, win 1039, length 0
22:39:23.485796 IP bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923 > 134.122.35.219.ssh: Flags [P.], seq 613:649, ack 1053984, win 1039, length 36
22:39:23.485810 IP bras-base-toroon0560w-grc-34-76-64-134-8.dsl.bell.ca.62923 > 134.122.35.219.ssh: Flags [.], ack 1058676, win 1043, length 0
